ID,Timestamp,Tweet URL,Group,Category,Topic,Keywords,Account handle,Account name,Account type,Joined,Following,Followers,Tweet,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets
16-1,26/03/23 23:01:18,https://twitter.com/gigaigurlmd/status/1557011994250821632,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa, ndf",@gigaigurlmd,Giga Basilio Igurashi🩺,Anonymous,02/20,688,752,"Wag nyo silang tawaging LUMAD. It's a Cebuano term for ""native"" & it's not wat our IPs use to identify themselves. CPP-NDF-NPA appropriated the term to lump all IPs into one identity & culture for propaganda & to better control them. So let's give back the RESPECT they deserve.🇵🇭

https://twitter.com/AFPCRS/status/1556849032018149376 ","Text, URL, Reply",09/08/22 22:32,https://drive.google.com/file/d/1DRCkBskh4lU_foQOelrXJ0I6lkbHHM6Y/view?usp=share_link ,Rational,1,1,0,0
16-2,27/03/23 01:25:28,https://twitter.com/Matina_Aplaya/status/1544816676289462274 ,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@Matina_Aplaya,Matina Aplaya,Anonymous,05/16,170,140,"just like lumad. the IPs of Davao would prefer to be called by their tribe. lumad to them is a name given by NPA, for the bakwit narrative, and used to get funds from international donors","Text, Reply",07/07/22 06:52,https://drive.google.com/file/d/1HDXE2znZ_blZVJUssjhSiTKBoKxvHyMH/view?usp=share_link ,"Rational, Emotional",43,0,15,1
16-3,28/03/23 11:57:55,https://twitter.com/RobeRose77/status/1069840018972250112 ,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, communist",@RobeRose77,Roby Rose,Identified,08/15,172,355,I’m angry 😤 for knowing that our last standing ancient Tribals (Lumad) are being abused by having their children taken away from them to be trained and be a front for the communist who have no other interests but to themselves!,Text,04/12/18 14:25,https://drive.google.com/file/d/1XrIAUGC4MKAlzGzdbh52CZ-bBV_eCzOo/view?usp=share_link ,"Rational, Emotional",4,0,3,0
16-4,28/03/23 15:50:68,https://twitter.com/hitman531ph/status/1078354447820943360,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa, ndf",@hitman531ph,The Hitman,Anonymous,04/11,312,5402,Only the terrorists CPP NPA NDF and its allied party list and other allied organizations recruit Lumad youth to suit their own purposes and the kill the Lumad and the elders if they refuse to pay up or join up. #DestroyTerroristCPPNPA,Text,28/12/18 02:18,https://drive.google.com/file/d/1mvYaEVlw-mhM_9vsquG1Q6kQmJ85MR2w/view?usp=share_link ,Rational,1,0,1,0
16-5,28/03/23 16:04:00,https://twitter.com/dTnalakRiderSR/status/1077948690688438272,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa, ndf",@dTnalakRiderSR,KulasSR,Anonymous,10/16,1520,3276,"CPP democracy is forcing Lumad to listen to their doctrine under armed cadres. Economic dev't by CPP is the closure of manufacturing plants through 
STRIKES of KMU & TUCP, strike of jeepneys PISTON.
The above mentioned movements are sanctioned by CPP-NPA-NDF headed by JOMA SISON.",Text,26/12/18 23:26,https://drive.google.com/file/d/1Gcm83E6G8XawZXQw136KVZme4OXZFQke/view?usp=share_link,Rational,4,0,3,0
16-6,03/04/23 10:44:04,https://twitter.com/ppscnsamar/status/1068448125793329152 ,16,REDT,Red-tagging of Lumads/Lumad schools,"salugpongan, npa",@ppscnsamar,Ppsc Northernsamar,Anonymous,08/15,665,325,"MGA GURO SA SALUGPONGAN SCHOOL RECRUITER NG NPA. 

#MakiisaParaSaKapayapaan
#CPP-NPA-NDF Ay Wakasan!
#MagbalikLoobSaPamahalaan 

#1stNSPMFC
#PoliceRegionalOffice8 https://facebook.com/100009809290853/posts/775522476118055/","Text, URL",30/11/18 18:14,https://drive.google.com/file/d/1iOmOXfot_FWNMUM_NWZ8j061qhM8BtaF/view?usp=share_link ,Rational,0,0,0,0
16-7,03/04/23 10:56:11,https://twitter.com/JrLibertas/status/1102221726966935553 ,16,REDT,Red-tagging of Lumads/Lumad schools,"salugpongan, npa",@JrLibertas,Libertas Omnium,Anonymous,09/10,343,180,"Salugpongan is an NPA school teaching NPA ideologies. look at the drawing, innocente ang mga lumad ndi alam anong nangyayari sa kanila at kung tama ba yung pinagaaralan nila dyan sa salugpongan na school.","Text, Reply",03/03/19 22:58,https://drive.google.com/file/d/1qF-EsI1T7b8vlO5-Bl2xHasyH1sSoFJM/view?usp=share_link ,Rational,0,0,0,0
16-8,28/03/23 16:43:01,https://twitter.com/AKATSUKE23/status/937982841866149889,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp. npa",@AKATSUKE23,Condoriano,Anonymous,03/10,107,2010,"CPP-NPA is not for the people. there principles are all obsolete, fighting for their own agenda, They are just nuisance to our society. Destroying lives, thru burning of equipment, brainwashing Lumad people and collecting revolutionary taxes. #terrorist 
@teddycasino",Text,05/12/17 17:51,https://drive.google.com/file/d/1pGb4OkR7izoyfvq_HDl2xJ41qXll5k1M/view?usp=share_link ,Rational,26,2,4,1
16-9,28/03/23 17:02:51,https://twitter.com/mirasga/status/889803487701213185,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, afp",@mirasga,Matt Irasga 🇵🇭,Identified,12/08,1508,10800,That is what is happening at these so called Lumad schools. More than a dozen of these were discovered by the AFP few years back.,"Text, Reply",25/07/17 19:04,https://drive.google.com/file/d/1EPta27IMTlamivTJX0TeqNvaz7J04m9X/view?usp=share_link ,Rational,2,1,1,0
16-10,29/03/23 17:21:04,https://twitter.com/AlfredoGenom/status/1551804582895816705,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@AlfredoGenom,Genom Alfredo 🇵🇭,Identified,01/20,204,25542,"Lumad schools? More like NPA schools. In their nonsense criticism to VP Sara's wearing of an ethnic ensemble during the SONA, wokes must not omit one crucial fact in their narrative:

The Lumad schools they are defending have been ""red-tagged"" by IP leaders themselves.

{Alt-text image: Facebook post criticizing Sara Duterte's Lumad-inspired outfit, statement from a tribal leader}","Text, Image",26/07/22 13:40,https://drive.google.com/file/d/1CJifZD-5VSX267NMGHxjOohiFnx1hHDi/view?usp=sharing,Rational,152,5,44,3
